account_id,district_id,frequency,date
3032,5,POPLATEK MESICNE,1993-06-07
6281,56,POPLATEK MESICNE,1993-06-08
306,16,POPLATEK MESICNE,1993-06-08
1207,67,POPLATEK MESICNE,1993-06-08
1247,25,POPLATEK MESICNE,1993-06-08
5129,68,POPLATEK MESICNE,1993-06-08
2327,19,POPLATEK MESICNE,1993-06-08
2388,30,POPLATEK MESICNE,1993-06-09
3566,21,POPLATEK MESICNE,1993-06-09
10266,54,POPLATEK MESICNE,1993-06-10
3771,22,POPLATEK MESICNE,1993-06-11
1978,57,POPLATEK TYDNE,1993-06-11
3246,54,POPLATEK MESICNE,1993-06-14
1475,1,POPLATEK TYDNE,1993-06-14
3133,66,POPLATEK MESICNE,1993-06-14
432,46,POPLATEK MESICNE,1993-06-16
2880,71,POPLATEK MESICNE,1993-06-16
1998,1,POPLATEK MESICNE,1993-06-17
2933,10,POPLATEK MESICNE,1993-06-18
773,15,POPLATEK MESICNE,1993-06-19
4894,14,POPLATEK MESICNE,1993-06-20
5120,1,POPLATEK MESICNE,1993-06-21
148,8,POPLATEK MESICNE,1993-06-21
886,1,POPLATEK MESICNE,1993-06-23
1451,64,POPLATEK MESICNE,1993-06-24
2940,54,POPLATEK MESICNE,1993-06-24
3954,22,POPLATEK MESICNE,1993-06-25
885,1,POPLATEK MESICNE,1993-06-25
8129,45,POPLATEK MESICNE,1993-06-26
2411,69,POPLATEK MESICNE,1993-06-27
3775,19,POPLATEK MESICNE,1993-06-27
902,74,POPLATEK MESICNE,1993-06-29
2552,52,POPLATEK MESICNE,1993-07-01
3435,59,POPLATEK MESICNE,1993-07-01
5215,55,POPLATEK MESICNE,1993-07-01
36,1,POPLATEK MESICNE,1993-07-01
1861,54,POPLATEK MESICNE,1993-07-02
2736,72,POPLATEK MESICNE,1993-07-02
2298,31,POPLATEK MESICNE,1993-07-03
929,54,POPLATEK MESICNE,1993-07-03
381,68,POPLATEK MESICNE,1993-07-04
4352,2,POPLATEK MESICNE,1993-07-05
1852,35,POPLATEK MESICNE,1993-07-05
2705,63,POPLATEK PO OBRATU,1993-07-05
9472,1,POPLATEK TYDNE,1993-07-06
1425,76,POPLATEK MESICNE,1993-07-06
8027,44,POPLATEK TYDNE,1993-07-07
3261,1,POPLATEK MESICNE,1993-07-07
35,75,POPLATEK MESICNE,1993-07-07
2186,63,POPLATEK MESICNE,1993-07-07
78,74,POPLATEK MESICNE,1993-07-07
3939,70,POPLATEK MESICNE,1993-07-08
2584,50,POPLATEK MESICNE,1993-07-08
2336,39,POPLATEK MESICNE,1993-07-08
2078,62,POPLATEK MESICNE,1993-07-08
4159,74,POPLATEK MESICNE,1993-07-09
907,41,POPLATEK MESICNE,1993-07-09
2213,68,POPLATEK MESICNE,1993-07-11
3277,36,POPLATEK MESICNE,1993-07-12
3413,70,POPLATEK MESICNE,1993-07-13
3654,47,POPLATEK MESICNE,1993-07-13
3241,44,POPLATEK MESICNE,1993-07-16
1497,1,POPLATEK MESICNE,1993-07-16
3078,1,POPLATEK MESICNE,1993-07-16
1116,1,POPLATEK MESICNE,1993-07-20
5700,42,POPLATEK MESICNE,1993-07-20
6273,38,POPLATEK MESICNE,1993-07-21
2253,74,POPLATEK MESICNE,1993-07-24
1069,70,POPLATEK MESICNE,1993-07-24
3287,18,POPLATEK MESICNE,1993-07-26
3982,26,POPLATEK MESICNE,1993-07-27
3629,48,POPLATEK MESICNE,1993-07-27
2732,5,POPLATEK MESICNE,1993-07-27
7485,39,POPLATEK MESICNE,1993-07-28
2088,4,POPLATEK MESICNE,1993-07-28
1630,72,POPLATEK MESICNE,1993-07-28
445,63,POPLATEK TYDNE,1993-07-29
186,1,POPLATEK TYDNE,1993-07-29
3720,36,POPLATEK MESICNE,1993-07-30
3580,43,POPLATEK MESICNE,1993-08-01
6363,74,POPLATEK MESICNE,1993-08-01
3738,51,POPLATEK MESICNE,1993-08-01
4000,7,POPLATEK MESICNE,1993-08-02
9041,1,POPLATEK MESICNE,1993-08-03
930,41,POPLATEK MESICNE,1993-08-03
1925,12,POPLATEK MESICNE,1993-08-03
1507,35,POPLATEK MESICNE,1993-08-03
7857,75,POPLATEK MESICNE,1993-08-04
6636,72,POPLATEK TYDNE,1993-08-04
3699,50,POPLATEK MESICNE,1993-08-05
816,52,POPLATEK MESICNE,1993-08-05
2038,42,POPLATEK MESICNE,1993-08-06
1589,37,POPLATEK MESICNE,1993-08-07
26,52,POPLATEK MESICNE,1993-08-08
657,47,POPLATEK MESICNE,1993-08-08
47,45,POPLATEK MESICNE,1993-08-08
3850,8,POPLATEK MESICNE,1993-08-09
3166,71,POPLATEK MESICNE,1993-08-10
11021,1,POPLATEK MESICNE,1993-08-10
1701,1,POPLATEK MESICNE,1993-08-10
3613,43,POPLATEK MESICNE,1993-08-10
3792,10,POPLATEK MESICNE,1993-08-11
1401,1,POPLATEK MESICNE,1993-08-12
3220,29,POPLATEK MESICNE,1993-08-14
1779,33,POPLATEK MESICNE,1993-08-15
238,6,POPLATEK MESICNE,1993-08-15
3035,15,POPLATEK TYDNE,1993-08-16
3221,5,POPLATEK MESICNE,1993-08-17
2771,37,POPLATEK MESICNE,1993-08-18
3891,1,POPLATEK MESICNE,1993-08-18
9236,11,POPLATEK MESICNE,1993-08-18
2417,44,POPLATEK MESICNE,1993-08-20
3868,43,POPLATEK MESICNE,1993-08-21
1875,44,POPLATEK MESICNE,1993-08-21
3477,71,POPLATEK MESICNE,1993-08-22
1057,13,POPLATEK MESICNE,1993-08-23
3407,28,POPLATEK MESICNE,1993-08-24
162,60,POPLATEK MESICNE,1993-08-25
5011,31,POPLATEK MESICNE,1993-08-25
815,56,POPLATEK MESICNE,1993-08-25
1449,35,POPLATEK MESICNE,1993-08-26
950,49,POPLATEK MESICNE,1993-08-26
3837,48,POPLATEK PO OBRATU,1993-08-26
2894,17,POPLATEK MESICNE,1993-08-28
2510,61,POPLATEK MESICNE,1993-08-28
6051,56,POPLATEK MESICNE,1993-08-28
1694,6,POPLATEK TYDNE,1993-08-29
1106,20,POPLATEK TYDNE,1993-08-29
3319,56,POPLATEK MESICNE,1993-08-29
10451,1,POPLATEK MESICNE,1993-08-29
172,13,POPLATEK MESICNE,1993-08-30
3920,74,POPLATEK MESICNE,1993-09-01
3011,64,POPLATEK MESICNE,1993-09-01
2592,69,POPLATEK MESICNE,1993-09-01
146,4,POPLATEK MESICNE,1993-09-02
8073,24,POPLATEK PO OBRATU,1993-09-03
4463,67,POPLATEK MESICNE,1993-09-03
3509,2,POPLATEK MESICNE,1993-09-05
3456,32,POPLATEK MESICNE,1993-09-06
2951,44,POPLATEK MESICNE,1993-09-06
1689,55,POPLATEK MESICNE,1993-09-07
5952,50,POPLATEK MESICNE,1993-09-07
1107,42,POPLATEK MESICNE,1993-09-08
8475,4,POPLATEK MESICNE,1993-09-08
3575,7,POPLATEK MESICNE,1993-09-08
2691,69,POPLATEK MESICNE,1993-09-08
2428,72,POPLATEK MESICNE,1993-09-08
2649,2,POPLATEK MESICNE,1993-09-08
2907,70,POPLATEK MESICNE,1993-09-09
1091,16,POPLATEK MESICNE,1993-09-09
2302,24,POPLATEK MESICNE,1993-09-10
1146,67,POPLATEK MESICNE,1993-09-12
750,73,POPLATEK MESICNE,1993-09-12
2150,37,POPLATEK MESICNE,1993-09-12
10940,50,POPLATEK MESICNE,1993-09-13
861,22,POPLATEK MESICNE,1993-09-13
1234,6,POPLATEK MESICNE,1993-09-13
7774,74,POPLATEK PO OBRATU,1993-09-14
1079,74,POPLATEK MESICNE,1993-09-14
3863,15,POPLATEK MESICNE,1993-09-14
3480,58,POPLATEK MESICNE,1993-09-14
2671,1,POPLATEK MESICNE,1993-09-15
3028,27,POPLATEK MESICNE,1993-09-15
6715,48,POPLATEK TYDNE,1993-09-15
3255,1,POPLATEK MESICNE,1993-09-15
2987,18,POPLATEK MESICNE,1993-09-16
2695,16,POPLATEK MESICNE,1993-09-16
2849,1,POPLATEK MESICNE,1993-09-16
2802,1,POPLATEK MESICNE,1993-09-16
34,67,POPLATEK TYDNE,1993-09-17
699,1,POPLATEK MESICNE,1993-09-17
2282,29,POPLATEK TYDNE,1993-09-17
837,46,POPLATEK MESICNE,1993-09-18
8759,1,POPLATEK MESICNE,1993-09-18
2958,48,POPLATEK MESICNE,1993-09-19
3408,62,POPLATEK MESICNE,1993-09-19
3268,21,POPLATEK MESICNE,1993-09-20
854,62,POPLATEK MESICNE,1993-09-21
1811,40,POPLATEK MESICNE,1993-09-22
3822,8,POPLATEK MESICNE,1993-09-22
3505,46,POPLATEK MESICNE,1993-09-23
1804,20,POPLATEK TYDNE,1993-09-23
2617,1,POPLATEK MESICNE,1993-09-24
467,74,POPLATEK MESICNE,1993-09-24
4437,40,POPLATEK MESICNE,1993-09-24
1453,61,POPLATEK TYDNE,1993-09-25
8982,64,POPLATEK MESICNE,1993-09-25
27,73,POPLATEK MESICNE,1993-09-26
4511,33,POPLATEK MESICNE,1993-09-26
1052,61,POPLATEK MESICNE,1993-09-27
3171,61,POPLATEK MESICNE,1993-09-28
228,5,POPLATEK MESICNE,1993-09-28
15,70,POPLATEK MESICNE,1993-10-02
2613,26,POPLATEK MESICNE,1993-10-03
2201,8,POPLATEK MESICNE,1993-10-05
5387,1,POPLATEK MESICNE,1993-10-05
1120,1,POPLATEK MESICNE,1993-10-05
235,41,POPLATEK MESICNE,1993-10-06
4543,33,POPLATEK MESICNE,1993-10-08
2427,70,POPLATEK TYDNE,1993-10-08
4659,56,POPLATEK MESICNE,1993-10-08
4059,34,POPLATEK MESICNE,1993-10-08
7011,75,POPLATEK MESICNE,1993-10-08
2623,58,POPLATEK MESICNE,1993-10-09
2479,18,POPLATEK MESICNE,1993-10-09
8041,1,POPLATEK MESICNE,1993-10-10
1468,54,POPLATEK MESICNE,1993-10-11
624,70,POPLATEK MESICNE,1993-10-11
4260,56,POPLATEK MESICNE,1993-10-14
931,59,POPLATEK MESICNE,1993-10-15
540,75,POPLATEK MESICNE,1993-10-16
3551,6,POPLATEK MESICNE,1993-10-17
4119,77,POPLATEK MESICNE,1993-10-18
1345,28,POPLATEK MESICNE,1993-10-19
1565,36,POPLATEK MESICNE,1993-10-20
2824,11,POPLATEK MESICNE,1993-10-20
2052,61,POPLATEK MESICNE,1993-10-20
1767,21,POPLATEK MESICNE,1993-10-20
2140,75,POPLATEK MESICNE,1993-10-21
3927,56,POPLATEK MESICNE,1993-10-22
2050,1,POPLATEK MESICNE,1993-10-22
2276,31,POPLATEK MESICNE,1993-10-22
126,5,POPLATEK MESICNE,1993-10-23
1789,46,POPLATEK MESICNE,1993-10-23
838,47,POPLATEK MESICNE,1993-10-23
2345,5,POPLATEK MESICNE,1993-10-25
40,64,POPLATEK MESICNE,1993-10-25
397,11,POPLATEK MESICNE,1993-10-26
3146,68,POPLATEK MESICNE,1993-10-26
287,16,POPLATEK MESICNE,1993-10-27
2180,45,POPLATEK MESICNE,1993-10-27
259,2,POPLATEK MESICNE,1993-10-28
4470,16,POPLATEK MESICNE,1993-11-01
2435,38,POPLATEK MESICNE,1993-11-01
542,1,POPLATEK MESICNE,1993-11-01
1123,13,POPLATEK MESICNE,1993-11-01
3225,1,POPLATEK MESICNE,1993-11-01
1133,1,POPLATEK MESICNE,1993-11-01
2250,35,POPLATEK MESICNE,1993-11-02
4079,52,POPLATEK MESICNE,1993-11-03
841,1,POPLATEK MESICNE,1993-11-04
2867,30,POPLATEK MESICNE,1993-11-04
3371,68,POPLATEK MESICNE,1993-11-04
520,60,POPLATEK MESICNE,1993-11-04
3640,10,POPLATEK MESICNE,1993-11-05
3354,63,POPLATEK MESICNE,1993-11-05
107,64,POPLATEK MESICNE,1993-11-05
243,55,POPLATEK TYDNE,1993-11-06
7965,55,POPLATEK MESICNE,1993-11-08
3352,42,POPLATEK MESICNE,1993-11-08
3948,1,POPLATEK MESICNE,1993-11-09
3688,70,POPLATEK MESICNE,1993-11-10
462,29,POPLATEK MESICNE,1993-11-10
321,47,POPLATEK MESICNE,1993-11-11
3548,23,POPLATEK MESICNE,1993-11-11
5984,11,POPLATEK MESICNE,1993-11-11
626,72,POPLATEK MESICNE,1993-11-11
3326,5,POPLATEK MESICNE,1993-11-11
1947,35,POPLATEK MESICNE,1993-11-12
2665,61,POPLATEK MESICNE,1993-11-13
1114,6,POPLATEK TYDNE,1993-11-13
8957,1,POPLATEK MESICNE,1993-11-13
2271,68,POPLATEK MESICNE,1993-11-13
3218,41,POPLATEK MESICNE,1993-11-14
3660,74,POPLATEK MESICNE,1993-11-14
787,10,POPLATEK MESICNE,1993-11-14
3820,1,POPLATEK MESICNE,1993-11-14
10906,76,POPLATEK MESICNE,1993-11-14
9656,61,POPLATEK MESICNE,1993-11-14
2557,40,POPLATEK MESICNE,1993-11-17
3938,57,POPLATEK MESICNE,1993-11-17
1686,11,POPLATEK MESICNE,1993-11-18
10670,60,POPLATEK MESICNE,1993-11-18
3107,5,POPLATEK MESICNE,1993-11-20
8377,29,POPLATEK MESICNE,1993-11-20
345,5,POPLATEK MESICNE,1993-11-20
3571,39,POPLATEK MESICNE,1993-11-21
10439,66,POPLATEK MESICNE,1993-11-21
1302,55,POPLATEK MESICNE,1993-11-21
4343,31,POPLATEK MESICNE,1993-11-22
1235,76,POPLATEK MESICNE,1993-11-23
4385,23,POPLATEK MESICNE,1993-11-23
7449,1,POPLATEK MESICNE,1993-11-24
545,54,POPLATEK MESICNE,1993-11-24
245,65,POPLATEK MESICNE,1993-11-25
6806,1,POPLATEK MESICNE,1993-11-26
2419,24,POPLATEK MESICNE,1993-11-27
10131,1,POPLATEK MESICNE,1993-11-27
651,72,POPLATEK MESICNE,1993-11-28
2989,4,POPLATEK MESICNE,1993-11-28
1499,47,POPLATEK MESICNE,1993-11-28
3570,44,POPLATEK MESICNE,1993-11-29
1621,75,POPLATEK MESICNE,1993-12-01
290,56,POPLATEK MESICNE,1993-12-02
3087,15,POPLATEK MESICNE,1993-12-04
956,74,POPLATEK MESICNE,1993-12-05
884,2,POPLATEK MESICNE,1993-12-07
3223,1,POPLATEK MESICNE,1993-12-07
2306,38,POPLATEK MESICNE,1993-12-08
1673,53,POPLATEK MESICNE,1993-12-08
10663,11,POPLATEK MESICNE,1993-12-08
1970,8,POPLATEK MESICNE,1993-12-08
358,12,POPLATEK MESICNE,1993-12-09
2980,66,POPLATEK MESICNE,1993-12-09
3380,64,POPLATEK MESICNE,1993-12-10
2128,22,POPLATEK MESICNE,1993-12-10
391,36,POPLATEK MESICNE,1993-12-11
1588,67,POPLATEK MESICNE,1993-12-11
183,43,POPLATEK MESICNE,1993-12-12
365,74,POPLATEK MESICNE,1993-12-12
3196,1,POPLATEK MESICNE,1993-12-13
2928,55,POPLATEK MESICNE,1993-12-14
1225,4,POPLATEK MESICNE,1993-12-14
180,55,POPLATEK TYDNE,1993-12-14
1605,72,POPLATEK MESICNE,1993-12-16
1792,7,POPLATEK MESICNE,1993-12-16
1604,54,POPLATEK MESICNE,1993-12-16
883,1,POPLATEK MESICNE,1993-12-17
1088,32,POPLATEK MESICNE,1993-12-19
3094,56,POPLATEK MESICNE,1993-12-20
2257,57,POPLATEK MESICNE,1993-12-21
719,30,POPLATEK MESICNE,1993-12-21
3292,1,POPLATEK MESICNE,1993-12-21
3604,75,POPLATEK MESICNE,1993-12-22
3056,55,POPLATEK MESICNE,1993-12-22
2971,76,POPLATEK TYDNE,1993-12-23
3197,1,POPLATEK MESICNE,1993-12-25
7944,59,POPLATEK MESICNE,1993-12-27
6148,74,POPLATEK MESICNE,1993-12-27
2010,1,POPLATEK MESICNE,1993-12-27
3135,72,POPLATEK MESICNE,1993-12-27
1098,47,POPLATEK MESICNE,1993-12-28
1153,35,POPLATEK MESICNE,1993-12-29
1635,19,POPLATEK MESICNE,1993-12-29
3759,1,POPLATEK MESICNE,1993-12-29
2778,38,POPLATEK MESICNE,1993-12-30
2161,15,POPLATEK TYDNE,1993-12-30
2789,14,POPLATEK MESICNE,1994-01-01
628,72,POPLATEK MESICNE,1994-01-03
2673,34,POPLATEK MESICNE,1994-01-04
1788,1,POPLATEK MESICNE,1994-01-04
969,19,POPLATEK MESICNE,1994-01-08
2179,1,POPLATEK TYDNE,1994-01-14
4774,66,POPLATEK MESICNE,1994-01-14
1627,1,POPLATEK MESICNE,1994-01-20
4356,47,POPLATEK MESICNE,1994-01-26
726,76,POPLATEK MESICNE,1994-02-03
4907,42,POPLATEK MESICNE,1994-02-06
3898,70,POPLATEK MESICNE,1994-02-07
1770,65,POPLATEK MESICNE,1994-02-08
2472,60,POPLATEK MESICNE,1994-02-08
